PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
ff_125C_1.32V,mos_ff,125,1.32,32,27237566.051097777,12,0.000104095,9.61458e-05,0.916737,0.288843,1.31999,1.31999,1.76971394160584e-08,1.34705,-0.030395
ff_125C_1.32V,mos_ff,125,1.32,64,52706477.626100115,12,0.000191836,0.000180065,0.844742,0.350934,1.31999,1.31999,9.508468253968256e-09,1.32162,-0.00450161
ff_125C_1.32V,mos_ff,125,1.32,128,99850224.66300522,12,0.000352692,0.000334635,0.752773,0.428401,1.31999,1.31999,5.2606814814814834e-09,1.32269,-0.0116845
ff_125C_1.32V,mos_ff,125,1.32,255,171909919.2023386,12,0.000625532,0.000599022,0.639094,0.521389,1.31999,1.31999,3.188607228915662e-09,1.32406,-0.00221791
sf_-40C_1.08V,mos_sf,-40,1.08,0,2121790.791427965,12,5.64641e-06,5.28613e-06,0.718768,0.335519,1.08,1.08,2.2378842105263178e-07,1.09303,-0.00826443
sf_-40C_1.08V,mos_sf,-40,1.08,1,3187759.0054191896,12,8.38164e-06,7.91967e-06,0.705872,0.347417,1.08,1.08,1.514308275862069e-07,1.09508,-0.0127089
sf_-40C_1.08V,mos_sf,-40,1.08,2,4241241.8356094705,12,1.11156e-05,1.05491e-05,0.696049,0.356354,1.08,1.08,1.1460748717948722e-07,1.0932,-0.0153597
sf_-40C_1.08V,mos_sf,-40,1.08,4,6329514.526235831,12,1.65586e-05,1.57971e-05,0.68098,0.369836,1.08,1.08,7.806454621848741e-08,1.0961,-0.0104556
sf_-40C_1.08V,mos_sf,-40,1.08,8,10451505.0167224,12,2.73958e-05,2.62551e-05,0.65935,0.388717,1.08,1.08,4.8522198019801956e-08,1.09115,-0.0198226
sf_-40C_1.08V,mos_sf,-40,1.08,16,18378974.453225467,12,4.88946e-05,4.70295e-05,0.629574,0.4139,1.08,1.08,2.847591598915988e-08,1.09796,-0.0186958
sf_-40C_1.08V,mos_sf,-40,1.08,32,32940246.393043064,12,9.11464e-05,8.799e-05,0.589417,0.446662,1.08,1.08,1.6389039416058393e-08,1.08832,-0.0134893
sf_-40C_1.08V,mos_sf,-40,1.08,64,57960934.330261394,12,0.000172562,0.000167176,0.536057,0.488593,1.08,1.08,9.567468253968257e-09,1.08925,-0.016771
sf_-40C_1.08V,mos_sf,-40,1.08,128,97219521.67995317,12,0.000322473,0.000313336,0.466988,0.540831,1.08,1.08,5.818681481481481e-09,1.09023,-0.00720517
sf_-40C_1.08V,mos_sf,-40,1.08,255,149700598.8023951,12,0.000572814,0.00055871,0.382547,0.602116,1.08,1.08,3.832007228915665e-09,1.09479,-0.0103956
sf_-40C_1.20V,mos_sf,-40,1.2,0,2373042.24015188,12,7.42277e-06,6.69176e-06,0.831376,0.342707,1.2,1.2,1.9874842105263176e-07,1.21226,-0.011432
sf_-40C_1.20V,mos_sf,-40,1.2,1,3563156.957063975,12,1.08713e-05,1.00271e-05,0.817846,0.355135,1.2,1.2,1.3285682758620685e-07,1.21802,-0.0139018
sf_-40C_1.20V,mos_sf,-40,1.2,2,4753755.466818799,12,1.43317e-05,1.33578e-05,0.807448,0.364539,1.2,1.2,1.0015148717948713e-07,1.22191,-0.0146726
sf_-40C_1.20V,mos_sf,-40,1.2,4,7131650.263871035,12,2.12909e-05,2.00073e-05,0.791355,0.378834,1.2,1.2,6.742854621848742e-08,1.22327,-0.00778854
sf_-40C_1.20V,mos_sf,-40,1.2,8,11858176.212498493,12,3.50112e-05,3.32649e-05,0.768012,0.399037,1.2,1.2,4.154219801980198e-08,1.2255,-0.0283629
sf_-40C_1.20V,mos_sf,-40,1.2,16,21199915.200339213,12,6.23729e-05,5.96314e-05,0.735521,0.426255,1.2,1.2,2.3961915989159897e-08,1.21246,-0.0269579
sf_-40C_1.20V,mos_sf,-40,1.2,32,39044198.032172374,12,0.000116285,0.000111765,0.691231,0.462037,1.2,1.2,1.3497039416058396e-08,1.22545,-0.0231803
sf_-40C_1.20V,mos_sf,-40,1.2,64,70731362.28603767,12,0.000220938,0.000213202,0.631658,0.508398,1.2,1.2,7.739468253968255e-09,1.21705,-0.00917263
sf_-40C_1.20V,mos_sf,-40,1.2,128,121109361.75366329,12,0.000415228,0.00040238,0.553407,0.56704,1.2,1.2,4.6511814814814805e-09,1.20872,-0.0155115
sf_-40C_1.20V,mos_sf,-40,1.2,255,189178963.29928166,12,0.000743559,0.000723636,0.456203,0.637061,1.2,1.2,3.0387072289156626e-09,1.21248,-0.00820127
sf_-40C_1.32V,mos_sf,-40,1.32,0,2575328.3543651747,12,9.38072e-06,8.14974e-06,0.944938,0.348986,1.32,1.32,1.812284210526316e-07,1.33623,-0.00997072
sf_-40C_1.32V,mos_sf,-40,1.32,1,3865331.8387383493,12,1.358e-05,1.2213e-05,0.930789,0.361926,1.32,1.32,1.2013682758620683e-07,1.33959,-0.015542
sf_-40C_1.32V,mos_sf,-40,1.32,2,5154373.485902788,12,1.78113e-05,1.62711e-05,0.919835,0.371778,1.32,1.32,9.154848717948714e-08,1.34342,-0.0147939
sf_-40C_1.32V,mos_sf,-40,1.32,4,7736345.350456423,12,2.63635e-05,2.43742e-05,0.902764,0.38684,1.32,1.32,6.151954621848742e-08,1.34571,-0.022623
sf_-40C_1.32V,mos_sf,-40,1.32,8,12918227.619170623,12,4.31368e-05,4.05354e-05,0.877797,0.408284,1.32,1.32,3.7505198019801983e-08,1.35637,-0.0322442
sf_-40C_1.32V,mos_sf,-40,1.32,16,23250406.882120486,12,7.65388e-05,7.27011e-05,0.842761,0.437391,1.32,1.32,2.1336915989159885e-08,1.35713,-0.0400355
sf_-40C_1.32V,mos_sf,-40,1.32,32,43620501.63576886,12,0.000142684,0.000136423,0.794613,0.475962,1.32,1.32,1.183283941605839e-08,1.34645,-0.0346346
sf_-40C_1.32V,mos_sf,-40,1.32,64,81287595.51292491,12,0.000271386,0.000261006,0.729223,0.526432,1.32,1.32,6.626168253968254e-09,1.34119,-0.0165055
sf_-40C_1.32V,mos_sf,-40,1.32,128,142897970.84881407,12,0.000512768,0.000495495,0.642191,0.591166,1.32,1.32,3.913881481481482e-09,1.33023,-0.019143
sf_-40C_1.32V,mos_sf,-40,1.32,255,227272727.27272797,12,0.000924555,0.000898008,0.53243,0.669796,1.32,1.32,2.5295072289156636e-09,1.33162,-0.0113901
sf_27C_1.08V,mos_sf,27,1.08,0,1634253.9630658603,12,4.70692e-06,4.24193e-06,0.77194,0.2746,1.08,1.08,2.8319842105263165e-07,1.08916,-0.010769
sf_27C_1.08V,mos_sf,27,1.08,1,2470355.731225297,12,6.91159e-06,6.35191e-06,0.756473,0.288829,1.08,1.08,1.8930182758620682e-07,1.09486,-0.0137321
sf_27C_1.08V,mos_sf,27,1.08,2,3306768.9560530344,12,9.11759e-06,8.45779e-06,0.744899,0.299391,1.08,1.08,1.4285748717948712e-07,1.08409,-0.0167888
sf_27C_1.08V,mos_sf,27,1.08,4,4981320.049813207,12,1.34898e-05,1.26587e-05,0.72748,0.315119,1.08,1.08,9.61285462184874e-08,1.09939,-0.0188148
sf_27C_1.08V,mos_sf,27,1.08,8,8318775.476249897,12,2.2179e-05,2.10215e-05,0.703115,0.336745,1.08,1.08,5.872019801980198e-08,1.09804,-0.0206881
sf_27C_1.08V,mos_sf,27,1.08,16,14900908.955446277,12,3.93992e-05,3.76021e-05,0.670545,0.36497,1.08,1.08,3.385291598915989e-08,1.09756,-0.0181839
sf_27C_1.08V,mos_sf,27,1.08,32,27419797.093501583,12,7.31194e-05,7.01802e-05,0.627872,0.400885,1.08,1.08,1.9091239416058397e-08,1.0927,-0.0168611
sf_27C_1.08V,mos_sf,27,1.08,64,49465769.68737646,12,0.000137766,0.000132863,0.572569,0.445968,1.08,1.08,1.0986668253968255e-08,1.08489,-0.0131712
sf_27C_1.08V,mos_sf,27,1.08,128,84217618.32575363,12,0.000256351,0.000248316,0.502228,0.501445,1.08,1.08,6.636081481481483e-09,1.08686,-0.00424318
sf_27C_1.08V,mos_sf,27,1.08,255,131250820.3176268,12,0.000455917,0.000443632,0.416724,0.566504,1.08,1.08,4.3395072289156646e-09,1.08997,-0.00646598
sf_27C_1.20V,mos_sf,27,1.2,0,1812907.9042784628,12,6.19626e-06,5.34416e-06,0.883208,0.282924,1.2,1.2,2.545984210526316e-07,1.21072,-0.010533
sf_27C_1.20V,mos_sf,27,1.2,1,2736651.9799677026,12,9.01216e-06,8.00416e-06,0.867183,0.29764,1.2,1.2,1.6937382758620689e-07,1.21668,-0.0139624
sf_27C_1.20V,mos_sf,27,1.2,2,3662735.330744996,12,1.1727e-05,1.06596e-05,0.855095,0.308637,1.2,1.2,1.2748548717948715e-07,1.22083,-0.0162049
sf_27C_1.20V,mos_sf,27,1.2,4,5519677.650825202,12,1.7307e-05,1.59586e-05,0.836752,0.325128,1.2,1.2,8.536054621848737e-08,1.22109,-0.0232275
sf_27C_1.20V,mos_sf,27,1.2,8,9241290.084095744,12,2.828e-05,2.65142e-05,0.810813,0.348021,1.2,1.2,5.2017198019801975e-08,1.22582,-0.0256616
sf_27C_1.20V,mos_sf,27,1.2,16,16686133.822793249,12,5.01367e-05,4.74709e-05,0.775708,0.37823,1.2,1.2,2.9578915989159887e-08,1.20523,-0.0167757
