PVT,code,tPLH ps,tPHL ps,mean ps,rise 20-80 ps,fall 20-80 ps,slope up V/ns,slope down V/ns,11-stage ring MHz
sf_-40C_1.20V,255,93.01899999999999,126.73000000000002,109.8745,121.341,112.83,7.671900000000001,6.90052,413.6951290294423
sf_-40C_1.32V,0,7025.400000000001,8876.2,7950.8,12340.599999999999,9119.6,0.07367510000000001,0.13966,5.716977594021413
sf_-40C_1.32V,16,735.99,993.39,864.69,1400.1699999999998,1131.24,0.7526510000000001,0.9614680000000001,52.56744666244024
sf_-40C_1.32V,128,116.67,165.76,141.215,194.98000000000002,174.79,5.15021,4.9755,321.88185004812135
sf_-40C_1.32V,255,76.929,105.31,91.1195,111.411,99.65,9.396360000000001,8.62463,498.8454222701557
sf_27C_1.08V,0,10407.800000000001,14555.4,12481.6,18838.7,14493.1,0.0397059,0.06894130000000001,3.641724254466211
sf_27C_1.08V,16,1083.72,1627.0500000000002,1355.385,2118.47,1796.2,0.41688400000000003,0.469218,33.53626125015804
sf_27C_1.08V,128,195.20999999999998,286.53,240.87,304.26,284.05,2.7204,2.5171900000000003,188.70986612922096
sf_27C_1.08V,255,130.79,185.41,158.1,174.129,166.75,4.81552,4.25868,287.50503133804847
sf_27C_1.20V,0,9804.1,12775.6,11289.849999999999,16982.5,12418.1,0.043802,0.08878370000000001,4.026142548797854
sf_27C_1.20V,16,999.13,1417.2800000000002,1208.205,1917.1,1553.18,0.48586900000000005,0.6412140000000001,37.62155052705911
sf_27C_1.20V,128,160.26,236.91000000000003,198.58499999999998,274.05,247.24,3.36464,3.23537,228.89213915726492
sf_27C_1.20V,255,105.449,150.17999999999998,127.81449999999998,156.216,143.52,6.100820000000001,5.51851,355.62902060834614
sf_27C_1.32V,0,9533.1,11469.699999999999,10501.400000000001,15615.4,10947.6,0.0482606,0.10715200000000001,4.328427205376945
sf_27C_1.32V,16,950.2299999999999,1275.1799999999998,1112.705,1763.04,1379.55,0.5290790000000001,0.8282870000000001,40.850490879923655
sf_27C_1.32V,128,138.73,204.95,171.84,251.85000000000002,220.99,4.00061,4.0348500000000005,264.51667513120026
sf_27C_1.32V,255,88.986,127.31,108.148,142.757,127.25,7.41136,6.89655,420.2994549556668
sf_125C_1.08V,0,17956.600000000002,20109.0,19032.800000000003,26620.2,19071.6,0.0210334,0.044315900000000005,2.3882216728250945
