sample,unit_A,ifs_A,dnl_min,dnl_max,worst_code,inl_max,monotonic
90,2.576646322117647e-06,0.000662106436,-0.060273045929726154,0.07599323050336526,128,0.07864918934781151,True
91,2.574005716509804e-06,0.000661584382,-0.049516096911639496,0.06558271506836699,128,0.07423947206664455,True
92,2.5736305586274506e-06,0.000661425388,-0.08464639879925917,0.2635710238591198,128,0.16824445716308004,True
93,2.5734082365882356e-06,0.000661351702,-0.03439300276182655,0.28738921127891537,64,0.18542917206889215,True
94,2.5748678838039217e-06,0.000661733879,-0.09542621015606922,0.13914664066832683,32,0.13489731085549436,True
95,2.5743867658823526e-06,0.000661600345,-0.10776654446764489,0.20518720851043848,192,0.1747333489815631,True
96,2.5762510218431373e-06,0.000662020708,-0.18349959605446775,0.09174066352734833,128,0.14770336647991078,True
97,2.5740339762745097e-06,0.000661575571,-0.0566340528595467,0.10933228788721294,56,0.08505540477816405,True
98,2.575464845490196e-06,0.000661857017,-0.05214353662227611,0.19891017165575509,128,0.17008774345671082,True
99,2.571980888e-06,0.000661072479,-0.037163140848350595,0.21500241878936577,160,0.16278269794047606,True
100,2.5755545140392154e-06,0.000661986173,-0.08459790419948887,0.20046575723651094,128,0.1449926772188876,True
101,2.5763207569411765e-06,0.000662251475,-0.03833208915278585,0.25007144057006103,128,0.15135742025865837,True
102,2.5755691979607843e-06,0.000661868413,-0.10417394266602376,0.01760962278752687,192,0.06317816137894111,True
103,2.575110956745098e-06,0.000661739934,-0.09903921074820021,0.09533610294028216,160,0.12115579609601848,True
104,2.574812811411765e-06,0.000661572056,-0.11770098784214056,0.14674472136911598,128,0.17560122067978182,True
105,2.573146689411765e-06,0.000661426216,-0.09742339620333162,0.09259297636185138,220,0.15076383249616854,True
106,2.5745830198431372e-06,0.00066163169,-0.05536858541536638,0.1610120850490897,224,0.09972933652294966,True
107,2.5738067810980396e-06,0.00066158217,-0.21124304477358835,0.2396781387912832,64,0.24670760123984467,True
108,2.5737894135294115e-06,0.000661486683,-0.1861121236303832,0.05038974276172237,192,0.1511280089066194,True
109,2.574898173098039e-06,0.000661706733,-0.05728516748317314,0.07556719288355929,200,0.07801480318517841,True
110,2.5755148320392157e-06,0.000661940342,-0.10421133231321233,0.08725912394875501,192,0.13693867037380178,True
111,2.5734423410588234e-06,0.0006613529,-0.06218299066027666,0.13976363612377019,192,0.12912825005471854,True
112,2.574371467647059e-06,0.000661678286,-0.062037848715387534,0.12453895499626078,64,0.13380497459380528,True
113,2.575598908509804e-06,0.00066198081,-0.09563247899197025,0.08043763755518785,40,0.12915036462307328,True
114,2.574825145372549e-06,0.000661761527,-0.037107818969491335,0.2615800361581597,128,0.16049151071654516,True
115,2.5744904307843134e-06,0.000661674981,-0.023403633613808705,0.14959370779185677,128,0.08677056239082576,True
116,2.574313056901961e-06,0.000661656531,-0.08242977921160344,0.1810983873340879,64,0.1749213798192441,True
