PVT,corner,temp,vdd,code,f_hz,edges,idd_run_A,idd_dis_A,vbp,vbn,clk_dis_V,clk_hold_min_V,tstart_s,vmax,vmin
ff_-40C_1.20V,mos_ff,-40,1.2,16,53239631.581749484,12,8.07471e-05,7.58838e-05,0.744375,0.353229,1.2,1.2,9.94655799457995e-09,1.21749,-0.0182969
ff_-40C_1.20V,mos_ff,-40,1.2,32,99295005.4612252,12,0.000149254,0.000141058,0.696412,0.390878,1.2,1.2,5.567119708029194e-09,1.22943,-0.0232964
ff_-40C_1.20V,mos_ff,-40,1.2,64,181917409.49608922,12,0.000278703,0.000265015,0.632522,0.439057,1.2,1.2,3.1788841269841265e-09,1.20899,-0.00849946
ff_-40C_1.20V,mos_ff,-40,1.2,128,309214594.92887926,12,0.00051114,0.00048882,0.549886,0.498841,1.2,1.2,1.9553407407407406e-09,1.21229,-0.00856349
ff_-40C_1.20V,mos_ff,-40,1.2,255,466570242.14995617,12,0.000887914,0.000854713,0.449058,0.568578,1.2,1.2,1.3368136144578316e-09,1.21714,-0.0119572
ff_-40C_1.32V,mos_ff,-40,1.32,0,5948132.286462086,12,1.22173e-05,1.02121e-05,0.961602,0.27088,1.32,1.32,8.14812105263159e-08,1.34421,-0.0195978
ff_-40C_1.32V,mos_ff,-40,1.32,1,8975854.950183991,12,1.78109e-05,1.52919e-05,0.946644,0.284409,1.32,1.32,5.4153413793103456e-08,1.34469,-0.0183456
ff_-40C_1.32V,mos_ff,-40,1.32,2,12006243.246488135,12,2.32322e-05,2.03606e-05,0.934988,0.294734,1.32,1.32,4.073474358974359e-08,1.34286,-0.022902
ff_-40C_1.32V,mos_ff,-40,1.32,4,18115942.028985396,12,3.37864e-05,3.04693e-05,0.916724,0.310549,1.32,1.32,2.74627731092437e-08,1.35958,-0.0417406
ff_-40C_1.32V,mos_ff,-40,1.32,8,30413625.30413624,12,5.4898e-05,5.05837e-05,0.889866,0.333097,1.32,1.32,1.6573099009900982e-08,1.36911,-0.0495289
ff_-40C_1.32V,mos_ff,-40,1.32,16,55367919.827252194,12,9.68231e-05,9.04307e-05,0.852048,0.363703,1.32,1.32,9.392057994579943e-09,1.36143,-0.0554007
ff_-40C_1.32V,mos_ff,-40,1.32,32,105152471.08307064,12,0.000179073,0.00016859,0.800143,0.404094,1.32,1.32,5.138719708029196e-09,1.35442,-0.0186355
ff_-40C_1.32V,mos_ff,-40,1.32,64,198688654.8778069,12,0.000335968,0.000318378,0.730259,0.456327,1.32,1.32,2.861784126984129e-09,1.33576,-0.00591089
ff_-40C_1.32V,mos_ff,-40,1.32,128,350262697.0227661,12,0.000620589,0.000591601,0.638689,0.521965,1.32,1.32,1.7117407407407404e-09,1.33188,-0.0078999
ff_-40C_1.32V,mos_ff,-40,1.32,255,543744222.7176337,12,0.00108743,0.0010436,0.525223,0.599714,1.32,1.32,1.1482436144578313e-09,1.33642,-0.0111692
ff_27C_1.08V,mos_ff,27,1.08,0,3946329.9131807424,12,6.52843e-06,5.61426e-06,0.786205,0.199089,1.08,1.08,1.2203821052631585e-07,1.09233,-0.0169993
ff_27C_1.08V,mos_ff,27,1.08,1,5982292.414453203,12,9.50188e-06,8.35854e-06,0.77026,0.213722,1.08,1.08,8.139141379310342e-08,1.10263,-0.0171547
ff_27C_1.08V,mos_ff,27,1.08,2,8038585.209003214,12,1.23961e-05,1.10923e-05,0.758209,0.224652,1.08,1.08,6.109774358974357e-08,1.10569,-0.022747
ff_27C_1.08V,mos_ff,27,1.08,4,12193634.922570406,12,1.80614e-05,1.65317e-05,0.739911,0.241012,1.08,1.08,4.075177310924371e-08,1.10462,-0.0330694
ff_27C_1.08V,mos_ff,27,1.08,8,20563438.206868175,12,2.94402e-05,2.73086e-05,0.714076,0.263615,1.08,1.08,2.4665099009900986e-08,1.10533,-0.0332578
ff_27C_1.08V,mos_ff,27,1.08,16,37339905.156640895,12,5.17395e-05,4.84925e-05,0.6793,0.293188,1.08,1.08,1.3979757994579941e-08,1.10119,-0.0246442
ff_27C_1.08V,mos_ff,27,1.08,32,69930069.93006985,12,9.48343e-05,8.95106e-05,0.633675,0.330757,1.08,1.08,7.778019708029194e-09,1.08451,-0.00796503
ff_27C_1.08V,mos_ff,27,1.08,64,128419160.13869244,12,0.000175644,0.00016674,0.574838,0.377612,1.08,1.08,4.4342841269841285e-09,1.08667,-0.00707243
ff_27C_1.08V,mos_ff,27,1.08,128,219250164.43762347,12,0.000319488,0.000305172,0.500683,0.434676,1.08,1.08,2.711340740740741e-09,1.0897,-0.00664823
ff_27C_1.08V,mos_ff,27,1.08,255,333544578.2328804,12,0.000553497,0.000531928,0.411701,0.500638,1.08,1.08,1.8349936144578317e-09,1.0936,-0.00965057
ff_27C_1.20V,mos_ff,27,1.2,0,4180776.7883272655,12,8.367e-06,6.85753e-06,0.898337,0.206619,1.2,1.2,1.1477621052631582e-07,1.21731,-0.0165347
ff_27C_1.20V,mos_ff,27,1.2,1,6323110.9705975205,12,1.17964e-05,1.0222e-05,0.881774,0.221767,1.2,1.2,7.601441379310344e-08,1.22508,-0.0211069
ff_27C_1.20V,mos_ff,27,1.2,2,8483203.257550048,12,1.54827e-05,1.3576e-05,0.869171,0.233144,1.2,1.2,5.707674358974359e-08,1.22845,-0.0227235
ff_27C_1.20V,mos_ff,27,1.2,4,12817226.35221737,12,2.25043e-05,2.02557e-05,0.849897,0.250275,1.2,1.2,3.830477310924369e-08,1.23421,-0.036726
ff_27C_1.20V,mos_ff,27,1.2,8,21612275.77263881,12,3.65196e-05,3.35132e-05,0.822422,0.274144,1.2,1.2,2.3147099009900985e-08,1.23513,-0.0443328
ff_27C_1.20V,mos_ff,27,1.2,16,39458627.6289312,12,6.40624e-05,5.96548e-05,0.785027,0.3057,1.2,1.2,1.3021657994579948e-08,1.22917,-0.038271
ff_27C_1.20V,mos_ff,27,1.2,32,75171014.05697949,12,0.000117587,0.000110533,0.735378,0.346253,1.2,1.2,7.098819708029194e-09,1.22201,-0.020179
ff_27C_1.20V,mos_ff,27,1.2,64,142308239.64707556,12,0.000218866,0.000207026,0.670551,0.397455,1.2,1.2,3.933484126984127e-09,1.20648,-0.015582
ff_27C_1.20V,mos_ff,27,1.2,128,252270433.90514663,12,0.000400938,0.000381557,0.587753,0.460631,1.2,1.2,2.333040740740741e-09,1.20941,-0.00617478
ff_27C_1.20V,mos_ff,27,1.2,255,395679183.3181662,12,0.000699489,0.000670564,0.486874,0.534742,1.2,1.2,1.5451636144578316e-09,1.21315,-0.00907094
ff_27C_1.32V,mos_ff,27,1.32,0,4390393.818325517,12,1.03912e-05,8.14833e-06,1.01135,0.213318,1.32,1.32,1.0800721052631585e-07,1.34053,-0.0173779
ff_27C_1.32V,mos_ff,27,1.32,1,6615069.127472385,12,1.4506e-05,1.21562e-05,0.994188,0.228958,1.32,1.32,7.252241379310345e-08,1.34024,-0.0233454
ff_27C_1.32V,mos_ff,27,1.32,2,8841732.979664028,12,1.89867e-05,1.61534e-05,0.981052,0.240762,1.32,1.32,5.441674358974359e-08,1.34972,-0.0284858
ff_27C_1.32V,mos_ff,27,1.32,4,13340448.23906078,12,2.73196e-05,2.41192e-05,0.960843,0.258628,1.32,1.32,3.660177310924369e-08,1.35835,-0.038961
ff_27C_1.32V,mos_ff,27,1.32,8,22406453.05848087,12,4.40503e-05,3.99487e-05,0.931807,0.283693,1.32,1.32,2.2135099009900976e-08,1.3531,-0.024639
ff_27C_1.32V,mos_ff,27,1.32,16,40909834.72426775,12,7.71282e-05,7.12332e-05,0.891932,0.31711,1.32,1.32,1.2380557994579944e-08,1.35858,-0.0520011
ff_27C_1.32V,mos_ff,27,1.32,32,78622533.2180203,12,0.000141474,0.000132369,0.838473,0.360469,1.32,1.32,6.683619708029196e-09,1.35192,-0.024852
ff_27C_1.32V,mos_ff,27,1.32,64,152230172.02009475,12,0.000264056,0.000249042,0.767922,0.415795,1.32,1.32,3.6203841269841275e-09,1.33174,-0.0162206
ff_27C_1.32V,mos_ff,27,1.32,128,278862242.0524269,12,0.000486409,0.000461748,0.67674,0.484847,1.32,1.32,2.0863407407407403e-09,1.32925,-0.00580824
ff_27C_1.32V,mos_ff,27,1.32,255,451263537.9061376,12,0.000855032,0.000817202,0.564135,0.566918,1.32,1.32,1.3505036144578314e-09,1.33302,-0.00872188
ff_125C_1.08V,mos_ff,125,1.08,0,3146831.14104098,12,6.67353e-06,5.30555e-06,0.875249,0.110626,1.07999,1.07999,1.5004621052631585e-07,1.09731,-0.0185165
ff_125C_1.08V,mos_ff,125,1.08,1,4396957.305544578,12,8.74649e-06,7.28459e-06,0.858959,0.125164,1.07999,1.07999,1.0800741379310343e-07,1.1001,-0.0245181
ff_125C_1.08V,mos_ff,125,1.08,2,5660911.406736476,12,1.09047e-05,9.2566e-06,0.846189,0.136665,1.07999,1.07999,8.425974358974357e-08,1.10131,-0.029199
ff_125C_1.08V,mos_ff,125,1.08,4,8221317.8772557285,11,1.50209e-05,1.31815e-05,0.826425,0.154539,1.07999,1.07999,5.8466773109243706e-08,1.10142,-0.0323845
ff_125C_1.08V,mos_ff,125,1.08,8,13435442.697836882,11,2.32843e-05,2.09623e-05,0.798325,0.179935,1.07999,1.07999,3.6289099009900985e-08,1.09289,-0.0305383
ff_125C_1.08V,mos_ff,125,1.08,16,24099869.86070276,10,3.944e-05,3.62753e-05,0.760801,0.213592,1.07999,1.07999,2.0654357994579945e-08,1.09678,-0.0194056
ff_125C_1.08V,mos_ff,125,1.08,32,45856834.96125102,11,7.08464e-05,6.60123e-05,0.712404,0.256403,1.07999,1.07999,1.1212819708029194e-08,1.08735,-0.0172074
ff_125C_1.08V,mos_ff,125,1.08,64,88644623.70357232,11,0.000130181,0.000122386,0.65105,0.309696,1.07999,1.07999,6.055584126984127e-09,1.08364,-0.00172983
ff_125C_1.08V,mos_ff,125,1.08,128,163612565.4450263,12,0.000237467,0.000224933,0.57446,0.374792,1.07999,1.07999,3.4530407407407405e-09,1.08567,-0.0032931
ff_125C_1.08V,mos_ff,125,1.08,255,268781077.8121213,12,0.000416811,0.000397799,0.482167,0.45115,1.07999,1.07999,2.196303614457832e-09,1.08835,-0.00549551
ff_125C_1.20V,mos_ff,125,1.2,0,3246226.261970464,12,8.1466e-06,6.19499e-06,0.987427,0.117819,1.19999,1.19999,1.4480721052631586e-07,1.21729,-0.015955
ff_125C_1.20V,mos_ff,125,1.2,1,4580852.038479155,12,1.08115e-05,8.60819e-06,0.970159,0.133355,1.19999,1.19999,1.0323641379310345e-07,1.22086,-0.0229011
ff_125C_1.20V,mos_ff,125,1.2,2,5923819.67892895,12,1.33022e-05,1.1014e-05,0.956665,0.145574,1.19999,1.19999,8.005374358974357e-08,1.22405,-0.0307304
ff_125C_1.20V,mos_ff,125,1.2,4,8636324.38034373,12,1.8458e-05,1.58059e-05,0.935792,0.164511,1.19999,1.19999,5.54277731092437e-08,1.22536,-0.0375587
ff_125C_1.20V,mos_ff,125,1.2,8,14137272.920053737,11,2.8535e-05,2.53179e-05,0.906039,0.191421,1.19999,1.19999,3.428809900990099e-08,1.2167,-0.0387039
ff_125C_1.20V,mos_ff,125,1.2,16,25374270.48972338,11,4.83625e-05,4.40828e-05,0.86605,0.227243,1.19999,1.19999,1.9475157994579947e-08,1.22335,-0.0272028
ff_125C_1.20V,mos_ff,125,1.2,32,48450786.11400466,11,8.69122e-05,8.06649e-05,0.813979,0.27318,1.19999,1.19999,1.0498219708029199e-08,1.21324,-0.0163295
ff_125C_1.20V,mos_ff,125,1.2,64,94912680.3340928,12,0.000160487,0.000150396,0.747221,0.330957,1.19999,1.19999,5.584084126984128e-09,1.2035,-0.00583792
ff_125C_1.20V,mos_ff,125,1.2,128,179985601.15190783,12,0.00029444,0.000278096,0.662863,0.402329,1.19999,1.19999,3.1026407407407406e-09,1.20557,-0.00306388
ff_125C_1.20V,mos_ff,125,1.2,255,305362159.5211912,12,0.00051979,0.000495098,0.559822,0.487088,1.19999,1.19999,1.921923614457832e-09,1.20837,-0.00536679
